R2,IB
-10.0,-1.273763492617265
-9.98999009009009,-1.2723069524517125
-9.97998018018018,-1.2708486218741442
-9.96997027027027,-1.2693884999103187
-9.95996036036036,-1.2679265855881017
-9.94995045045045,-1.2664628779283085
-9.93994054054054,-1.2649973759497968
-9.929930630630631,-1.2635300786708576
-9.91992072072072,-1.262060985103119
-9.90991081081081,-1.2605900942604045
-9.899900900900901,-1.2591174051498584
-9.889890990990992,-1.2576429167768381
-9.87988108108108,-1.256166628146513
-9.869871171171171,-1.2546885382565893
-9.859861261261262,-1.253208646108499
-9.84985135135135,-1.251726950694204
-9.839841441441441,-1.2502434510051277
-9.829831531531532,-1.248758146034426
-9.819821621621621,-1.2472710347652196
-9.809811711711712,-1.2457821161837828
-9.799801801801802,-1.2442913892699785
-9.789791891891891,-1.242798853001549
-9.779781981981982,-1.2413045063558137
-9.769772072072072,-1.2398083483032423
-9.759762162162161,-1.238310377814038
-9.749752252252252,-1.2368105938565606
-9.739742342342343,-1.2353089953951422
-9.729732432432433,-1.2338055813887348
-9.719722522522522,-1.232300350798015
-9.709712612612613,-1.2307933025770303
-9.699702702702703,-1.229284435680574
-9.689692792792792,-1.2277737490567695
-9.679682882882883,-1.2262612416540275
-9.669672972972974,-1.2247469124155383
-9.659663063063062,-1.223230760281412
-9.649653153153153,-1.221712784190828
-9.639643243243244,-1.220192983080853
-9.629633333333333,-1.218671355882348
-9.619623423423423,-1.217147901525447
-9.609613513513514,-1.2156226189349688
-9.599603603603603,-1.2140955070377633
-9.589593693693693,-1.2125665647497552
-9.579583783783784,-1.211035790994762
-9.569573873873875,-1.209503184682756
-9.559563963963964,-1.2079687447271041
-9.549554054054054,-1.2064324700366065
-9.539544144144145,-1.2048943595172084
-9.529534234234234,-1.2033544120726916
-9.519524324324324,-1.201812626600388
-9.509514414414415,-1.2002690019974445
-9.499504504504504,-1.198723537159335
-9.489494594594595,-1.1971762309752538
-9.479484684684685,-1.1956270823345108
-9.469474774774774,-1.1940760901192995
-9.459464864864865,-1.1925232532119239
-9.449454954954955,-1.1909685704920765
-9.439445045045044,-1.1894120408333162
-9.429435135135135,-1.187853663109376
-9.419425225225226,-1.1862934361881141
-9.409415315315314,-1.1847313589354531
-9.399405405405405,-1.183167430215187
-9.389395495495496,-1.1816016488868417
-9.379385585585586,-1.1800340138073633
-9.369375675675675,-1.1784645238292661
-9.359365765765766,-1.1768931778039633
-9.349355855855856,-1.175319974576425
-9.339345945945945,-1.1737449129941755
