T,$\sigma$,V
30.0,420.0,112727702.02942476
30.0,435.0,112727708.70042743
30.0,450.0,112727712.95814426
30.0,465.0,112727715.67105022
30.0,480.0,112727717.3969322
30.0,495.0,112727718.49328053
30.0,510.0,112727719.18876015
30.0,525.0,112727719.6293696
30.0,540.0,112727719.90816827
30.0,555.0,112727720.084374
30.0,570.0,112727720.19561766
30.0,585.0,112727720.26577465
30.0,600.0,112727720.30997793
30.0,615.0,112727720.3378008
30.0,630.0,112727720.35529819
30.0,645.0,112727720.36629263
30.0,660.0,112727720.37319584
30.0,675.0,112727720.37752649
30.0,690.0,112727720.38024062
30.0,705.0,112727720.38194147
30.0,720.0,112727720.38300571
30.0,735.0,112727720.38367207
30.0,750.0,112727720.38408901
30.0,765.0,112727720.38434891
30.0,780.0,112727720.38451171
30.0,795.0,112727720.38461275
30.0,810.0,112727720.38467592
30.0,825.0,112727720.3847155
30.0,840.0,112727720.38474035
30.0,855.0,112727720.3847554
30.0,870.0,112727720.38476482
30.0,885.0,112727720.38477083
30.0,900.0,112727720.3847745
30.0,915.0,112727720.38477683
30.0,930.0,112727720.38477823
30.0,945.0,112727720.38477913
30.0,960.0,112727720.38477966
30.0,975.0,112727720.38478002
30.0,990.0,112727720.38478023
45.0,0.0,243482079.35160217
45.0,15.0,243631979.73939806
45.0,30.0,243975726.98615706
45.0,45.0,244382969.4004485
45.0,60.0,244786292.97729903
45.0,75.0,245157856.3941586
45.0,90.0,245487750.63842443
45.0,105.0,245773783.6049199
45.0,120.0,246017353.41213772
45.0,135.0,246221682.0210528
45.0,150.0,246390899.5915476
45.0,165.0,246529476.10535765
45.0,180.0,246641849.702651
45.0,195.0,246732190.31373876
45.0,210.0,246804264.77392706
45.0,225.0,246861377.7423044
45.0,240.0,246906362.3695738
45.0,255.0,246941603.15471214
45.0,270.0,246969076.8541433
45.0,285.0,246990401.6553122
45.0,300.0,247006888.15306473
45.0,315.0,247019588.16029614
45.0,330.0,247029339.1562495
45.0,345.0,247036803.37434795
45.0,360.0,247042501.30094284
45.0,375.0,247046839.8184095
45.0,390.0,247050135.47700238
45.0,405.0,247052633.49081102
45.0,420.0,247054523.0773528
45.0,435.0,247055949.7319211
45.0,450.0,247057024.97282457
45.0,465.0,247057834.02625892
45.0,480.0,247058441.8521401
45.0,495.0,247058897.8354106
45.0,510.0,247059239.4432713
45.0,525.0,247059495.03607428
45.0,540.0,247059686.02916434
45.0,555.0,247059828.60635182
45.0,570.0,247059934.92024815
45.0,585.0,247060014.10452604
45.0,600.0,247060073.0283195
45.0,615.0,247060116.83483598
45.0,630.0,247060149.37368655
45.0,645.0,247060173.52269396
45.0,660.0,247060191.43066922
45.0,675.0,247060204.70033428
45.0,690.0,247060214.52581933
45.0,705.0,247060221.79595718
45.0,720.0,247060227.17169955
45.0,735.0,247060231.14409715
45.0,750.0,247060234.0776861
45.0,765.0,247060236.24282092
45.0,780.0,247060237.8398893
45.0,795.0,247060239.017288
45.0,810.0,247060239.88482636
45.0,825.0,247060240.5237314
45.0,840.0,247060240.99402598
45.0,855.0,247060241.3400399
45.0,870.0,247060241.59450313
45.0,885.0,247060241.78155112
45.0,900.0,247060241.91898596
45.0,915.0,247060242.0199297
45.0,930.0,247060242.09403676
45.0,945.0,247060242.148424
45.0,960.0,247060242.18832082
45.0,975.0,247060242.21758026
45.0,990.0,247060242.2390333
60.0,0.0,364123608.9169627
60.0,15.0,364401308.699842
60.0,30.0,365094683.23653656
60.0,45.0,365998082.03982437
60.0,60.0,366970866.3811358
60.0,75.0,367934208.52385247
60.0,90.0,368848048.80671453
60.0,105.0,369693441.2799127
60.0,120.0,370462520.74332315
60.0,135.0,371153407.263902
60.0,150.0,371767660.1803326
60.0,165.0,372308922.2992681
60.0,180.0,372782107.1627251
60.0,195.0,373192851.2747749
60.0,210.0,373547118.18218535
60.0,225.0,373850907.3552097
60.0,240.0,374110044.58464664
60.0,255.0,374330038.3560429
60.0,270.0,374515989.2471751
60.0,285.0,374672540.78875154
60.0,300.0,374803861.59887135
60.0,315.0,374913651.28939164
60.0,330.0,375005156.1021419
60.0,345.0,375081204.7688146
60.0,360.0,375144244.1150649
60.0,375.0,375196372.0103133
60.0,390.0,375239379.9150452
60.0,405.0,375274788.952524
60.0,420.0,375303884.69037926
60.0,435.0,375327749.032637
60.0,450.0,375347289.1468096
60.0,465.0,375363262.8857386
60.0,480.0,375376301.48791635
60.0,495.0,375386929.1858513
60.0,510.0,375395580.1918617
60.0,525.0,375402613.2775795
60.0,540.0,375408324.21142316
60.0,555.0,375412956.31192595
60.0,570.0,375416709.3591588
60.0,585.0,375419747.0877959
60.0,600.0,375422203.46320564
60.0,615.0,375424187.9203201
60.0,630.0,375425789.7223407
60.0,645.0,375427081.57730764
60.0,660.0,375428122.6304252
60.0,675.0,375428960.9346366
60.0,690.0,375429635.48498183
60.0,705.0,375430177.8910044
60.0,720.0,375430613.74874216
60.0,735.0,375430963.76395
60.0,750.0,375431244.6706568
60.0,765.0,375431469.98083514
60.0,780.0,375431650.59553313
60.0,795.0,375431795.3019883
60.0,810.0,375431911.1782585
60.0,825.0,375432003.9211825
60.0,840.0,375432078.1128728
60.0,855.0,375432137.43603563
60.0,870.0,375432184.84893644
60.0,885.0,375432222.7260583
60.0,900.0,375432252.9724166
60.0,915.0,375432277.1153671
60.0,930.0,375432296.3788923
60.0,945.0,375432311.7432111
60.0,960.0,375432323.99300265
60.0,975.0,375432333.7533728
60.0,990.0,375432341.53457326
75.0,0.0,470485341.94620585
75.0,15.0,470928955.8141846
75.0,30.0,472092157.7051013
75.0,45.0,473700042.6750294
75.0,60.0,475531106.2497318
75.0,75.0,477436653.78401893
75.0,90.0,479325671.57745045
75.0,105.0,481145454.2995635
75.0,120.0,482866755.88878083
75.0,135.0,484474300.80459607
75.0,150.0,485961198.79369783
75.0,165.0,487325764.79681766
75.0,180.0,488569686.9322971
75.0,195.0,489696915.8815786
75.0,210.0,490712936.78664637
75.0,225.0,491624251.5753717
75.0,240.0,492437987.89459157
75.0,255.0,493161594.2986189
75.0,270.0,493802602.3215309
75.0,285.0,494368437.5740315
75.0,300.0,494866286.99612814
75.0,315.0,495302994.1071365
75.0,330.0,495684992.0387822
75.0,345.0,496018261.59901184
75.0,360.0,496308312.16330487
75.0,375.0,496560175.4918226
75.0,390.0,496778415.7638247
75.0,405.0,496967146.6471139
75.0,420.0,497130055.0542013
75.0,435.0,497270428.90900326
75.0,450.0,497391187.15739995
75.0,465.0,497494910.6584388
75.0,480.0,497583872.9369101
75.0,495.0,497660070.05640846
75.0,510.0,497725249.0952684
75.0,525.0,497780934.8902155
75.0,540.0,497828454.84768224
75.0,555.0,497868961.73191744
75.0,570.0,497903454.41385454
75.0,585.0,497932796.62742436
75.0,600.0,497957733.8149166
75.0,615.0,497978908.1711843
75.0,630.0,497996872.01658785
75.0,645.0,498012099.6252392
75.0,660.0,498024997.65286493
75.0,675.0,498035914.2920201
75.0,690.0,498045147.28752714
75.0,705.0,498052950.1915756
75.0,720.0,498059479.0603249
75.0,735.0,498065105.7826152
75.0,750.0,498069799.1840299
75.0,765.0,498073756.1547433
75.0,780.0,498077090.3712946
75.0,795.0,498079898.32373625
75.0,810.0,498082261.84390897
75.0,825.0,498084250.27583396
75.0,840.0,498085922.3352223
75.0,855.0,498087327.70175254
75.0,870.0,498088508.3796633
75.0,885.0,498089499.8592847
75.0,900.0,498090332.1077203
75.0,915.0,498091030.41243774
75.0,930.0,498091616.0993764
75.0,945.0,498092107.1430255
75.0,960.0,498092518.6845468
75.0,975.0,498092863.47196937
75.0,990.0,498093152.2324948
90.0,0.0,558019022.2134919
90.0,15.0,558666427.2631632
90.0,30.0,560417428.4326644
90.0,45.0,562935085.9563231
90.0,60.0,565917384.4242415
90.0,75.0,569136099.705738
90.0,90.0,572433263.1258703
90.0,105.0,575705244.1294117
90.0,120.0,578886440.4582793
90.0,135.0,581936499.155308
90.0,150.0,584831455.261351
90.0,165.0,587557979.1791817
90.0,180.0,590109763.3345282
90.0,195.0,592485268.492794
90.0,210.0,594686293.6248946
90.0,225.0,596717031.7342093
90.0,240.0,598583411.1745671
90.0,255.0,600292608.440072
90.0,270.0,601852670.5513066
90.0,285.0,603272206.9642304
90.0,300.0,604560148.1011552
90.0,315.0,605725537.8733009
90.0,330.0,606777372.1555647
90.0,345.0,607724465.7553163
90.0,360.0,608575352.7850038
90.0,375.0,609338210.0302212
90.0,390.0,610020802.5585437
90.0,405.0,610630447.6352142
90.0,420.0,611173993.9216596
90.0,435.0,611657813.0939758
90.0,450.0,612087801.4155917
90.0,465.0,612469389.0794092
90.0,480.0,612807558.1759938
90.0,495.0,613106852.7696862
90.0,510.0,613371408.0142795
90.0,525.0,613604988.7383642
90.0,540.0,613810987.2050834
90.0,555.0,613992466.9007094
90.0,570.0,614152184.023874
90.0,585.0,614292612.4867613
90.0,600.0,614415967.9878167
90.0,615.0,614524230.939175
90.0,630.0,614619168.1036407
90.0,645.0,614702352.857417
90.0,660.0,614775184.0387526
90.0,675.0,614838903.377044
90.0,690.0,614894611.5284387
90.0,705.0,614943282.7620738
90.0,720.0,614985778.3538984
90.0,735.0,615022858.758586
90.0,750.0,615055194.633452
90.0,765.0,615083376.7926322
90.0,780.0,615107925.1708117
90.0,795.0,615129296.8735483
90.0,810.0,615147893.3917848
90.0,825.0,615164067.0527829
90.0,840.0,615178126.7763113
90.0,855.0,615190343.2022495
90.0,870.0,615200953.2493618
90.0,885.0,615210164.163405
90.0,900.0,615218157.1039658
90.0,915.0,615225090.3202432
90.0,930.0,615231101.9588594
90.0,945.0,615236312.5409617
90.0,960.0,615240827.148336
90.0,975.0,615244737.3483453
90.0,990.0,615248122.8879855
105.0,0.0,621088329.3048147
105.0,15.0,621977269.2597336
105.0,30.0,624432555.7022556
105.0,45.0,628061844.4216189
105.0,60.0,632486336.5524094
105.0,75.0,637395076.9293802
105.0,90.0,642553236.0781214
105.0,105.0,647792490.1310554
105.0,120.0,652996336.8502814
105.0,135.0,658086129.1262405
105.0,150.0,663009861.5489925
105.0,165.0,667733936.7165823
105.0,180.0,672237512.0192678
105.0,195.0,676508299.1947051
105.0,210.0,680540470.6463567
105.0,225.0,684332607.8341693
105.0,240.0,687886609.6503258
105.0,255.0,691206869.7488052
105.0,270.0,694299675.6194423
105.0,285.0,697172749.9852213
105.0,300.0,699834806.1083928
105.0,315.0,702295572.6175911
105.0,330.0,704565060.2568483
105.0,345.0,706653676.3227613
105.0,360.0,708571967.8149897
105.0,375.0,710330474.2804207
105.0,390.0,711939606.5856093
105.0,405.0,713409547.3968709
105.0,420.0,714750173.2037562
105.0,435.0,715970993.1475726
105.0,450.0,717081103.8314576
105.0,465.0,718089157.5247741
105.0,480.0,719003341.8688164
105.0,495.0,719831369.269113
105.0,510.0,720580474.34143
105.0,525.0,721257417.9346411
105.0,540.0,721868496.4353936
105.0,555.0,722419555.2142512
105.0,570.0,722916005.23079
105.0,585.0,723362841.9555333
105.0,600.0,723764665.8950421
105.0,615.0,724125704.1267488
105.0,630.0,724449832.3487674
105.0,645.0,724740597.0441196
105.0,660.0,725001237.4358525
105.0,675.0,725234706.9803457
105.0,690.0,725443694.1987206
105.0,705.0,725630642.7071142
105.0,720.0,725797770.3302143
105.0,735.0,725947087.238607
105.0,750.0,726080413.0580411
105.0,765.0,726199392.9391251
105.0,780.0,726305512.581959
105.0,795.0,726400112.2319956
105.0,810.0,726484399.6744874
105.0,825.0,726559462.2574699
105.0,840.0,726626277.9878312
105.0,855.0,726685725.7456692
105.0,870.0,726738594.6605179
105.0,885.0,726785592.7036127
105.0,900.0,726827354.543205
105.0,915.0,726864448.7140443
105.0,930.0,726897384.147252
105.0,945.0,726926616.1097894
105.0,960.0,726952551.5984577
105.0,975.0,726975554.2306192
105.0,990.0,726995948.6729459
120.0,0.0,652968857.2730471
120.0,15.0,654136994.0805095
120.0,30.0,657412053.798801
120.0,45.0,662351982.1356192
120.0,60.0,668506046.3860929
120.0,75.0,675481086.0259656
120.0,90.0,682960427.2386503
120.0,105.0,690701537.9460886
120.0,120.0,698524976.6997108
120.0,135.0,706301211.6952333
120.0,150.0,713938450.9830375
120.0,165.0,721372656.9480827
120.0,180.0,728559895.5089595
120.0,195.0,735470722.4266663
120.0,210.0,742086173.4817555
120.0,225.0,748394952.0031828
120.0,240.0,754391446.4950078
120.0,255.0,760074341.7151827
120.0,270.0,765445630.8240833
120.0,285.0,770509879.9565777
120.0,300.0,775273677.4865797
120.0,315.0,779745201.7054949
120.0,330.0,783933871.3897955
120.0,345.0,787850055.7790276
120.0,360.0,791504829.2051713
120.0,375.0,794909761.0435642
120.0,390.0,798076734.9979249
120.0,405.0,801017793.6703825
120.0,420.0,803745005.5169448
120.0,435.0,806270351.8975297
120.0,450.0,808605632.2850457
120.0,465.0,810762385.8757554
120.0,480.0,812751827.9557633
120.0,495.0,814584799.4701495
120.0,510.0,816271728.2981591
120.0,525.0,817822600.8371423
120.0,540.0,819246942.5565464
120.0,555.0,820553806.3045918
120.0,570.0,821751767.221833
120.0,585.0,822848923.2339069
120.0,600.0,823852900.1832685
120.0,615.0,824770860.7709702
120.0,630.0,825609516.5586647
120.0,645.0,826375142.3855742
120.0,660.0,827073592.6256019
120.0,675.0,827710318.7983203
120.0,690.0,828290388.103578
120.0,705.0,828818502.5308503
120.0,720.0,829299018.233827
120.0,735.0,829735964.9226819
120.0,750.0,830133065.0659152
120.0,765.0,830493752.735717
120.0,780.0,830821191.9637299
120.0,795.0,831118294.5000323
120.0,810.0,831387736.9036193
120.0,825.0,831631976.900066
120.0,840.0,831853268.9755727
120.0,855.0,832053679.1789962
120.0,870.0,832235099.1242703
120.0,885.0,832399259.3167691
120.0,900.0,832547741.071724
120.0,915.0,832681988.8989445
120.0,930.0,832803320.8888326
120.0,945.0,832912938.9994191
120.0,960.0,833011938.5152609
120.0,975.0,833101316.844351
120.0,990.0,833181981.6739885
135.0,0.0,645848125.1553912
135.0,15.0,647333067.1307404
135.0,30.0,651542697.2207615
135.0,45.0,657990056.6404402
135.0,60.0,666157465.962168
135.0,75.0,675572020.509477
135.0,90.0,685833583.8478031
135.0,105.0,696619642.7265476
135.0,120.0,707678884.4512999
135.0,135.0,718820219.7738074
135.0,150.0,729900982.9594171
135.0,165.0,740816167.8099611
135.0,180.0,751489430.0195265
135.0,195.0,761865963.9472623
135.0,210.0,771907063.4040357
135.0,225.0,781586067.4603893
135.0,240.0,790885383.9328157
135.0,255.0,799794320.1349431
135.0,270.0,808307502.0809668
135.0,285.0,816423714.2978301
135.0,300.0,824145036.2940251
135.0,315.0,831476186.6758853
135.0,330.0,838424012.514366
135.0,345.0,844997081.0000652
135.0,360.0,851205344.2709246
135.0,375.0,857059857.9626901
135.0,390.0,862572540.5529487
135.0,405.0,867755964.9615306
135.0,420.0,872623176.7130705
135.0,435.0,877187534.7777011
135.0,450.0,881462572.3547498
135.0,465.0,885461875.5309052
135.0,480.0,889198978.1863991
135.0,495.0,892687271.7146959
135.0,510.0,895939928.3128319
135.0,525.0,898969836.6267943
135.0,540.0,901789548.6537554
135.0,555.0,904411236.7876157
135.0,570.0,906846660.0014609
135.0,585.0,909107138.1524457
135.0,600.0,911203533.5027955
135.0,615.0,913146238.5611161
135.0,630.0,914945169.4273555
135.0,645.0,916609763.9053862
135.0,660.0,918148983.6675575
135.0,675.0,919571319.8657804
135.0,690.0,920884801.5974993
135.0,705.0,922097006.7386622
135.0,720.0,923215074.6749885
135.0,735.0,924245720.9408181
135.0,750.0,925195250.945605
135.0,765.0,926069578.6684196
135.0,780.0,926874241.784166
135.0,795.0,927614419.1922666
135.0,810.0,928294948.2741517
135.0,825.0,928920342.120906
135.0,840.0,929494806.593918
135.0,855.0,930022257.1053057
135.0,870.0,930506335.0130266
135.0,885.0,930950423.5704283
135.0,900.0,931357663.3530425
135.0,915.0,931730967.1379348
135.0,930.0,932073034.176562
135.0,945.0,932386363.8706185
135.0,960.0,932673268.8053399
135.0,975.0,932935887.1593007
135.0,990.0,933176194.480465
150.0,0.0,590825574.869426
150.0,15.0,592664893.3100762
150.0,30.0,597923396.9696546
150.0,45.0,606073275.3006867
150.0,60.0,616534627.8628153
150.0,75.0,628758165.4783901
150.0,90.0,642260788.4423901
150.0,105.0,656637078.2849312
150.0,120.0,671557807.1183581
150.0,135.0,686762008.695535
150.0,150.0,702046569.5633478
150.0,165.0,717255617.7237132
150.0,180.0,732270882.6277575
150.0,195.0,747003508.9904873
150.0,210.0,761387406.1806817
150.0,225.0,775374008.0627625
150.0,240.0,788928231.6076869
150.0,255.0,802025404.6528779
150.0,270.0,814648950.2618757
150.0,285.0,826788646.8436918
150.0,300.0,838439318.0870026
150.0,315.0,849599839.2630026
150.0,330.0,860272374.137558
150.0,345.0,870461779.0795479
150.0,360.0,880175128.3048815
150.0,375.0,889421327.3440467
150.0,390.0,898210791.4932435
150.0,405.0,906555173.0308264
150.0,420.0,914467125.9750185
150.0,435.0,921960100.6305039
150.0,450.0,929048162.5946625
150.0,465.0,935745832.4758942
150.0,480.0,942067943.7032046
150.0,495.0,948029516.4468313
150.0,510.0,953645646.1672174
150.0,525.0,958931405.5429962
150.0,540.0,963901758.7403581
150.0,555.0,968571487.0553716
150.0,570.0,972955125.0456884
150.0,585.0,977066906.3166008
150.0,600.0,980920718.1383927
150.0,615.0,984530062.7494001
150.0,630.0,987908032.8881187
150.0,645.0,991067279.9052019
150.0,660.0,994020001.9763812
150.0,675.0,996777930.3739672
150.0,690.0,999352321.8540505
150.0,705.0,1001753955.1266851
150.0,720.0,1003993130.9050349
150.0,735.0,1006079675.016666
150.0,750.0,1008022944.1598355
150.0,765.0,1009831833.8944398
150.0,780.0,1011514788.4950812
150.0,795.0,1013079812.3519354
150.0,810.0,1014534482.6063646
150.0,825.0,1015885962.7699268
150.0,840.0,1017141017.0960602
150.0,855.0,1018306025.4850363
150.0,870.0,1019386998.7545867
150.0,885.0,1020389594.1155648
150.0,900.0,1021319130.7151755
150.0,915.0,1022180605.132275
150.0,930.0,1022978706.7251171
150.0,945.0,1023717832.7514895
150.0,960.0,1024402103.1849279
150.0,975.0,1025035375.176539
150.0,990.0,1025621257.1102645
165.0,0.0,477912571.2141123
165.0,15.0,480143810.82106507
165.0,30.0,486565127.673854
165.0,45.0,496611296.3697475
165.0,60.0,509644521.15772176
165.0,75.0,525042816.76593256
165.0,90.0,542241875.9446316
165.0,105.0,560752464.1962966
165.0,120.0,580163759.4212655
165.0,135.0,600138870.0445541
165.0,150.0,620406497.4172869
165.0,165.0,640751229.5461278
165.0,180.0,661003936.0670943
165.0,195.0,681033044.755497
165.0,210.0,700737033.4747081
165.0,225.0,720038201.6485265
165.0,240.0,738877637.2518753
165.0,255.0,757211226.4878905
165.0,270.0,775006532.4859827
165.0,285.0,792240375.2937101
165.0,300.0,808896964.4190667
165.0,315.0,824966458.7793558
165.0,330.0,840443852.6589534
165.0,345.0,855329104.7951077
165.0,360.0,869622475.9716822
165.0,375.0,883329936.681757
165.0,390.0,896458763.9746107
165.0,405.0,909018162.3450451
165.0,420.0,921018955.0696567
165.0,435.0,932473319.967695
165.0,450.0,943393497.654594
165.0,465.0,953795829.9186702
165.0,480.0,963694233.308788
165.0,495.0,973104261.9009612
165.0,510.0,982041902.3554621
165.0,525.0,990523478.9006634
165.0,540.0,998565487.2816559
165.0,555.0,1006184526.0708741
165.0,570.0,1013397196.1787313
165.0,585.0,1020220019.4748815
165.0,600.0,1026669367.0866303
165.0,615.0,1032761396.7058561
165.0,630.0,1038511998.2289954
165.0,645.0,1043936747.1251501
165.0,660.0,1049050864.9362898
165.0,675.0,1053869186.3169824
165.0,690.0,1058406132.0439167
165.0,705.0,1062675687.4876838
165.0,720.0,1066691386.0033208
165.0,735.0,1070466296.7542589
165.0,750.0,1074013016.5395703
165.0,765.0,1077343665.1279714
165.0,780.0,1080469883.7616034
165.0,795.0,1083402836.3967416
165.0,810.0,1086135175.6547394
165.0,825.0,1088731237.0753567
165.0,840.0,1091146669.6132905
165.0,855.0,1093408821.7077441
165.0,870.0,1095526563.0763812
165.0,885.0,1097508333.7892437
165.0,900.0,1099362156.4537838
165.0,915.0,1101095649.115252
165.0,930.0,1102716038.6134408
165.0,945.0,1104230174.3402028
165.0,960.0,1105644542.2075996
165.0,975.0,1106965278.7578027
165.0,990.0,1108198185.297764
180.0,0.0,296032401.86977625
180.0,15.0,298693087.59679794
180.0,30.0,306390882.6636548
180.0,45.0,318526084.28046143
180.0,60.0,334406901.37563634
180.0,75.0,353342367.3548205
180.0,90.0,374689421.75667214
180.0,105.0,397875460.71840584
180.0,120.0,422406197.24444723
180.0,135.0,447864724.8206898
180.0,150.0,473905641.74586403
180.0,165.0,500246790.83938634
180.0,180.0,526660256.46883905
180.0,195.0,552963611.1786888
180.0,210.0,579011952.5244375
180.0,225.0,604690970.026067
180.0,240.0,629911093.786243
180.0,255.0,654602667.4028555
180.0,270.0,678712032.9375238
180.0,285.0,702198394.9771824
180.0,300.0,725031330.6353772
180.0,315.0,747188823.2712686
180.0,330.0,768655713.3205578
180.0,345.0,789422476.9955411
180.0,360.0,809484259.807716
180.0,375.0,828840106.6040401
180.0,390.0,847492342.337884
180.0,405.0,865446067.972192
180.0,420.0,882708732.6194453
180.0,435.0,899289832.9582806
180.0,450.0,915200543.7331676
180.0,465.0,930453511.0637105
180.0,480.0,945062616.1760627
180.0,495.0,959042777.4396791
180.0,510.0,972409773.7476699
180.0,525.0,985180085.8529205
180.0,540.0,997370753.2276528
180.0,555.0,1008999244.5636204
180.0,570.0,1020083340.5515964
180.0,585.0,1030641027.8410747
180.0,600.0,1040647623.0202554
180.0,615.0,1050249587.6700349
180.0,630.0,1059336648.5973735
180.0,645.0,1067969531.3508942
180.0,660.0,1076165997.8298357
180.0,675.0,1083943572.652824
180.0,690.0,1091319496.0689497
180.0,705.0,1098310683.2004068
180.0,720.0,1104933689.133134
180.0,735.0,1111204679.4363985
180.0,750.0,1117139405.6625023
180.0,765.0,1122753185.4202294
180.0,780.0,1128060886.6272585
180.0,795.0,1133076915.562693
180.0,810.0,1137815208.3432722
180.0,825.0,1142289225.5156558
180.0,840.0,1146511949.3958726
180.0,855.0,1150495883.914223
180.0,870.0,1154253056.610042
180.0,885.0,1157795022.6021287
180.0,900.0,1161132870.1972787
180.0,915.0,1164277227.9955902
180.0,930.0,1167238273.2414408
180.0,945.0,1170025741.2265842
180.0,960.0,1172648935.6079419
180.0,975.0,1175116739.4570515
180.0,990.0,1177437626.8985207
195.0,0.0,33020277.39631152
195.0,15.0,36147919.14668393
195.0,30.0,45235645.37395692
195.0,45.0,59651807.56179237
195.0,60.0,78654114.57339382
195.0,75.0,101486205.78755116
195.0,90.0,127429070.68201065
195.0,105.0,155828063.7532494
195.0,120.0,186104887.7167232
195.0,135.0,217760117.05585766
195.0,150.0,250369959.4143579
195.0,165.0,283579790.2266433
195.0,180.0,317096182.585379
195.0,195.0,350678560.3430754
195.0,210.0,384131169.4143555
195.0,225.0,417295754.81437254
195.0,240.0,450045121.2734659
195.0,255.0,482277619.6133429
195.0,270.0,513912519.2691108
195.0,285.0,544886183.2165127
195.0,300.0,575148942.3858376
195.0,315.0,604662563.1059908
195.0,330.0,633398206.8890756
195.0,345.0,661271355.5535637
195.0,360.0,688395675.6799848
195.0,375.0,714757627.6618234
195.0,390.0,740229899.08877
195.0,405.0,764873629.0108286
195.0,420.0,788691220.3236321
195.0,435.0,811687885.0996488
195.0,450.0,833871252.8372787
195.0,465.0,855251038.4226193
195.0,480.0,875838757.0044978
195.0,495.0,895647476.0317273
195.0,510.0,914691597.1179585
195.0,525.0,932986662.1310658
195.0,540.0,950549179.3362217
195.0,555.0,967396466.5028081
195.0,570.0,983546508.559687
195.0,585.0,999017828.0478103
195.0,600.0,1013829366.9862835
195.0,615.0,1028000379.1289772
195.0,630.0,1041550331.6999594
195.0,645.0,1054498815.9801568
195.0,660.0,1066865466.0946153
195.0,675.0,1078669885.538903
195.0,690.0,1089931580.9384367
195.0,705.0,1100669902.6216629
195.0,720.0,1110903991.5952601
195.0,735.0,1120652732.5352943
195.0,750.0,1129934712.401052
195.0,765.0,1138768184.3258772
195.0,780.0,1147171036.399077
195.0,795.0,1155160765.0117035
195.0,810.0,1162754452.4238887
195.0,825.0,1169968748.2347
195.0,840.0,1176819854.4189851
195.0,855.0,1183323513.6676216
195.0,870.0,1189495000.7020698
195.0,885.0,1195349116.3421676
195.0,900.0,1200900184.0161748
195.0,915.0,1206162028.3664887
195.0,930.0,1211148056.6110451
195.0,945.0,1215871140.0022166
195.0,960.0,1220343698.6827693
195.0,975.0,1224577686.9586782
195.0,990.0,1228584599.994894
210.0,0.0,-324376668.7624743
210.0,15.0,-320744572.82849455
210.0,30.0,-310153629.4849582
210.0,45.0,-293265233.0832653
210.0,60.0,-270869046.40109587
210.0,75.0,-243783436.5445087
210.0,90.0,-212800426.89384437
210.0,105.0,-178654828.67973328
210.0,120.0,-142008552.79885435
210.0,135.0,-103444814.41294694
210.0,150.0,-63468706.76858187
210.0,165.0,-22511676.488554716
210.0,180.0,19061839.609535217
210.0,195.0,60946819.62681842
210.0,210.0,102889904.45572996
210.0,225.0,144681990.32846832
210.0,240.0,186151451.96606588
210.0,255.0,227158131.5088706
210.0,270.0,267588182.81762648
210.0,285.0,307349415.42429733
210.0,300.0,346367898.846202
210.0,315.0,384584642.8289319
210.0,330.0,421953099.66174746
210.0,345.0,458437071.0766524
210.0,360.0,494008999.09058976
210.0,375.0,528648572.9088913
210.0,390.0,562341593.328842
210.0,405.0,595079045.2123086
210.0,420.0,626856336.8959304
210.0,435.0,657672672.9474813
210.0,450.0,687530532.9876939
210.0,465.0,716435234.715366
210.0,480.0,744394563.8208795
210.0,495.0,771418457.072049
210.0,525.0,822708826.0586733
210.0,540.0,847003625.1592448
210.0,555.0,870419232.7238705
210.0,570.0,892972819.3609173
210.0,585.0,914682463.8668724
210.0,600.0,935567012.1447666
210.0,615.0,955645948.193408
210.0,630.0,974939275.8122574
210.0,645.0,993467410.015034
210.0,660.0,1011251077.3323637
210.0,675.0,1028311224.2818928
210.0,690.0,1044668933.5011742
210.0,705.0,1060345347.0211151
210.0,720.0,1075361596.3281188
210.0,735.0,1089738738.7130237
210.0,750.0,1103497699.6828809
210.0,765.0,1116659173.9005353
210.0,780.0,1129243767.7326443
210.0,795.0,1141271673.0284114
210.0,810.0,1152762820.7105622
210.0,825.0,1163736800.6851988
210.0,840.0,1174212833.6192818
210.0,855.0,1184209746.6572974
210.0,870.0,1193745952.7213147
210.0,885.0,1202839433.1887817
210.0,900.0,1211507723.6632924
210.0,915.0,1219767902.635195
210.0,930.0,1227636582.7581031
210.0,945.0,1235129904.5424964
210.0,960.0,1242263532.2600818
210.0,975.0,1249052651.856267
210.0,990.0,1255511970.662715
225.0,0.0,-790499380.2876334
225.0,15.0,-786325341.3365264
225.0,30.0,-774118028.6286349
225.0,45.0,-754566655.9021733
225.0,60.0,-728505454.2366049
225.0,75.0,-696811637.34886
225.0,90.0,-660347299.5091801
225.0,105.0,-619925220.9240513
225.0,120.0,-576289877.6161919
225.0,135.0,-530108611.57388544
225.0,150.0,-481969606.4246795
225.0,165.0,-432384291.36551523
225.0,180.0,-381792454.5304444
225.0,210.0,-279030226.13346577
225.0,225.0,-227443024.81311917
225.0,240.0,-176029625.5398538
225.0,255.0,-124975038.13598633
225.0,270.0,-74432446.53652358
225.0,285.0,-24528145.30097556
225.0,300.0,24634204.005436897
225.0,315.0,72969948.15860295
225.0,330.0,120410385.6208272
225.0,345.0,166900208.45315266
225.0,360.0,212395373.7226379
225.0,375.0,256861339.3970151
225.0,390.0,300271605.8147032
225.0,405.0,342606510.8630233
