m2Sig,m2Eta,m2X,fPI,m2,c,lambda_sigma,lambda_a,Tc,Tn,Alpha,Beta,Message,vwLTE,kappaLTE,vwLN,kappaLN
1000000.0,1000000.0,1000000.0,1000.0,0.0,16000000.0,1.0,0.0,578.3058572255749,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,1000000.0,1400.0,0.0,16000000.0,0.5102040816326531,0.0,700.0806684406164,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,1000000.0,1800.0,0.0,16000000.0,0.30864197530864196,0.0,813.6506553380943,803.1021733960938,0.0031682720256108396,12524.144223518724,0.0,0.5017599963051418,0.049594063052184056,0.1030773621933029,0.08399569224180428
1000000.0,1000000.0,1000000.0,2200.0,0.0,16000000.0,0.2066115702479339,0.0,927.7979731102273,911.2099387632239,0.003174322679511051,8768.418912353234,0.006,0.5284118333167566,0.06624642232500734,0.12309538520163707,0.1117888601199685
1000000.0,1000000.0,1000000.0,2600.0,0.0,16000000.0,0.14792899408284024,0.0,1033.263689051469,1008.1123663114939,0.002997290433214968,6034.553320200186,0.38,0.546475924975626,0.08987531297574758,0.14650648154561738,0.1458376454613404
1000000.0,1000000.0,1000000.0,3000.0,0.0,16000000.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,5800000.0,1000.0,0.0,16000000.0,1.0,4.8,496.7864618272322,489.69384927335284,0.016429919987606963,11743.22738122345,0.0,0.24020827628845295,0.07105573221498096,0.1089678416503063,0.09109337837790789
1000000.0,1000000.0,5800000.0,1400.0,0.0,16000000.0,0.5102040816326531,2.4489795918367347,563.0884958611185,552.249744801091,0.0179118005960009,7853.815774109109,0.0,0.2897800819254683,0.0884838195521593,0.12855601268212408,0.11872263237428685
1000000.0,1000000.0,5800000.0,1800.0,0.0,16000000.0,0.30864197530864196,1.4814814814814814,627.8154003386404,612.6116185149095,0.018057237596360767,6183.403071327426,0.0,0.341202725274751,0.10390613902262615,0.1451828237572246,0.14715636941787508
1000000.0,1000000.0,5800000.0,2200.0,0.0,16000000.0,0.2066115702479339,0.9917355371900827,685.388689799099,667.0522305033123,0.017951443416312742,5724.638239486139,0.0,0.3607058469969537,0.10936142221821296,0.1547677927297468,0.15769637316846166
1000000.0,1000000.0,5800000.0,2600.0,0.0,16000000.0,0.14792899408284024,0.7100591715976331,742.080210988256,719.3749347732439,0.01754982517648405,5286.446842642014,0.0,0.3896908667549038,0.11934665481303454,0.1670960920529191,0.17661887018876676
1000000.0,1000000.0,5800000.0,3000.0,0.0,16000000.0,0.1111111111111111,0.5333333333333333,797.0593759297262,769.0490259206991,0.017089398429426878,4795.09539377156,0.0,0.41718471993929074,0.1312156015593722,0.18093608716411913,0.19826472990997082
1000000.0,1000000.0,10600000.0,1000.0,0.0,16000000.0,1.0,9.6,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,10600000.0,1400.0,0.0,16000000.0,0.5102040816326531,4.8979591836734695,569.9846861422284,543.5489198182403,0.02001173045018328,3700.3074467157426,0.0,0.3719620165066912,0.19723045801702876,0.2130752208477922,0.24746908668733608
1000000.0,1000000.0,10600000.0,1800.0,0.0,16000000.0,0.30864197530864196,2.962962962962963,623.1456473417996,588.4750529233575,0.02164894697267571,3197.375713788546,0.0,0.40482197766286615,0.2253453298867611,0.2373555622030151,0.28549129631190306
1000000.0,1000000.0,10600000.0,2200.0,0.0,16000000.0,0.2066115702479339,1.9834710743801653,671.9391513733245,629.3569811527072,0.022652026712703995,2798.6015744775214,0.0,0.4287622021585863,0.2467458213945642,0.25668842849728674,0.31522713552265763
1000000.0,1000000.0,10600000.0,2600.0,0.0,16000000.0,0.14792899408284024,1.4201183431952662,717.9639323797472,667.8577121166475,0.023204094992596895,2930.1239019030622,0.0,0.4467774119722158,0.2633599257917688,0.27215730331893057,0.33870716541490326
1000000.0,1000000.0,10600000.0,3000.0,0.0,16000000.0,0.1111111111111111,1.0666666666666667,762.1427385108235,704.0862643257436,0.023227059032025526,501.5662253568721,0.0,0.46319393208426624,0.27915284216502206,0.2871535130361806,0.3609364697641798
1000000.0,1000000.0,15399999.999999998,1000.0,0.0,16000000.0,1.0,14.399999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,15399999.999999998,1400.0,0.0,16000000.0,0.5102040816326531,7.346938775510203,585.6750568728529,548.2266347802823,0.016908033032978022,2828.101751106888,0.0,0.419416855639903,0.26092820965645686,0.25754827138599673,0.3185829167297568
1000000.0,1000000.0,15399999.999999998,1800.0,0.0,16000000.0,0.30864197530864196,4.444444444444444,635.6852440451564,586.1212947122644,0.017894238555910626,2215.4606484626647,0.0,0.45419989977433356,0.30284300208478854,0.2903258216931004,0.36947409664887904
1000000.0,1000000.0,15399999.999999998,2200.0,0.0,16000000.0,0.2066115702479339,2.9752066115702474,680.9019274076169,619.6729100737286,0.018181293755019607,2127.502078100281,0.0,0.4789831084912698,0.33500934152959166,0.3169391577019267,0.40902748440882264
1000000.0,1000000.0,15399999.999999998,2600.0,0.0,16000000.0,0.14792899408284024,2.130177514792899,723.1074123893651,650.767092561539,0.017946713828795587,1973.35950180086,0.0,0.49729944490179057,0.36032426430490483,0.33863427523204265,0.44016640102444954
1000000.0,1000000.0,15399999.999999998,3000.0,0.0,16000000.0,0.1111111111111111,1.5999999999999999,763.2790837386799,680.6879408787636,0.01744445288210083,1930.1279773585525,0.0,0.5112148764125533,0.37900379114970434,0.3557219813425196,0.4637283757351285
1000000.0,1000000.0,20200000.0,1000.0,0.0,16000000.0,1.0,19.2,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,20200000.0,1400.0,0.0,16000000.0,0.5102040816326531,9.795918367346939,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,20200000.0,1800.0,0.0,16000000.0,0.30864197530864196,5.925925925925926,649.3592826874709,588.7741971707159,0.014240983024858116,1942.4119153143738,0.0,0.4861646124200204,0.3523513706611955,0.32345679297263585,0.42171005105630155
1000000.0,1000000.0,20200000.0,2200.0,0.0,16000000.0,0.2066115702479339,3.9669421487603307,692.8570500474453,617.6982213234569,0.013510518464768891,1721.5286259319141,0.0,0.5120901277876403,0.392083698467926,0.3549634597960186,0.4680618449266514
1000000.0,1000000.0,20200000.0,2600.0,0.0,16000000.0,0.14792899408284024,2.8402366863905324,733.1451754358145,644.1166077518177,0.012117478949287835,1633.5472470678737,0.0,0.5316256611711953,0.42285456229742485,0.3809229918355265,0.5040357873099812
1000000.0,1000000.0,20200000.0,3000.0,0.0,16000000.0,0.1111111111111111,2.1333333333333333,771.2749159022147,669.2759024239451,0.01032357121210787,1530.5734488897658,0.0,0.5462738469941455,0.44672271411613446,0.40195122394399313,0.5318248752391436
