m2Sig,m2Eta,m2X,fPI,m2,c,lambda_sigma,lambda_a,Tc,Tn,Alpha,Beta,Message,vwLTE,kappaLTE,vwLN,kappaLN
1000000.0,1000000.0,1000000.0,1000.0,0.0,16000000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,1000000.0,1400.0,0.0,16000000.0,0.5102040816326531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,1000000.0,1800.0,0.0,16000000.0,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,1000000.0,2200.0,0.0,16000000.0,0.2066115702479339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,1000000.0,2600.0,0.0,16000000.0,0.14792899408284024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,1000000.0,3000.0,0.0,16000000.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,5800000.0,1000.0,0.0,16000000.0,1.0,4.8,507.7374623129216,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,5800000.0,1400.0,0.0,16000000.0,0.5102040816326531,2.4489795918367347,572.1038192373958,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,5800000.0,1800.0,0.0,16000000.0,0.30864197530864196,1.4814814814814814,637.1098605726255,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,5800000.0,2200.0,0.0,16000000.0,0.2066115702479339,0.9917355371900827,695.467438318903,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,5800000.0,2600.0,0.0,16000000.0,0.14792899408284024,0.7100591715976331,754.0016013672856,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,5800000.0,3000.0,0.0,16000000.0,0.1111111111111111,0.5333333333333333,811.3589827067364,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,10600000.0,1000.0,0.0,16000000.0,1.0,9.6,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,10600000.0,1400.0,0.0,16000000.0,0.5102040816326531,4.8979591836734695,576.7518222670687,553.5465171163123,0.019222393053826288,4219.06969214694,0.0,0.35622707731698117,0.17445217179346512,0.19589717030724385,0.22111027778813658
1000000.0,1000000.0,10600000.0,1800.0,0.0,16000000.0,0.30864197530864196,2.962962962962963,628.7708874328375,599.3288043824996,0.0215524954836465,3771.827537675939,0.0,0.38141063315185997,0.19507124698255723,0.21422691068478755,0.2495154328071237
1000000.0,1000000.0,10600000.0,2200.0,0.0,16000000.0,0.2066115702479339,1.9834710743801653,677.3935999622231,642.4173059066292,0.023066349059392238,3652.363581313277,0.0,0.3993859853271865,0.20875561371262638,0.22705962843404812,0.26933136667481683
1000000.0,1000000.0,10600000.0,2600.0,0.0,16000000.0,0.14792899408284024,1.4201183431952662,723.6619221042973,683.9463186631864,0.024038028460028043,3643.6850631697175,0.0,0.41215985000995986,0.2169376760376785,0.23550883564756575,0.2822986513351656
1000000.0,1000000.0,10600000.0,3000.0,0.0,16000000.0,0.1111111111111111,1.0666666666666667,768.2050914960707,724.6682169923556,0.02467210457179051,3914.5419030972375,0.0,0.4208676206087586,0.22028229667393853,0.2400895119756831,0.28935930334558196
1000000.0,1000000.0,15399999.999999998,1000.0,0.0,16000000.0,1.0,14.399999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
